Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: E0923 21:36:07.946790   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:08 ip-172-31-10-147 kubelet[13623]: E0923 21:36:08.046565   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:08 ip-172-31-10-147 kubelet[13623]: E0923 21:36:08.147177   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:08 ip-172-31-10-147 kubelet[13623]: E0923 21:36:08.246995   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:08 ip-172-31-10-147 kubelet[13623]: E0923 21:36:08.346621   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:08 ip-172-31-10-147 kubelet[13623]: E0923 21:36:08.447235   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:08 ip-172-31-10-147 kubelet[13623]: E0923 21:36:08.546826   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:08 ip-172-31-10-147 kubelet[13623]: E0923 21:36:08.646745   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:08 ip-172-31-10-147 kubelet[13623]: E0923 21:36:08.747596   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:08 ip-172-31-10-147 kubelet[13623]: E0923 21:36:08.846805   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:08 ip-172-31-10-147 kubelet[13623]: E0923 21:36:08.946639   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:09 ip-172-31-10-147 kubelet[13623]: E0923 21:36:09.047207   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:09 ip-172-31-10-147 kubelet[13623]: E0923 21:36:09.147314   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:09 ip-172-31-10-147 kubelet[13623]: E0923 21:36:09.247172   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:09 ip-172-31-10-147 kubelet[13623]: E0923 21:36:09.346596   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:09 ip-172-31-10-147 kubelet[13623]: E0923 21:36:09.447374   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:09 ip-172-31-10-147 kubelet[13623]: E0923 21:36:09.547075   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:09 ip-172-31-10-147 kubelet[13623]: E0923 21:36:09.646766   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:09 ip-172-31-10-147 kubelet[13623]: E0923 21:36:09.746907   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:09 ip-172-31-10-147 kubelet[13623]: E0923 21:36:09.846997   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:09 ip-172-31-10-147 kubelet[13623]: E0923 21:36:09.946874   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:10 ip-172-31-10-147 kubelet[13623]: E0923 21:36:10.047588   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:10 ip-172-31-10-147 kubelet[13623]: E0923 21:36:10.147246   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:10 ip-172-31-10-147 kubelet[13623]: E0923 21:36:10.246903   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:10 ip-172-31-10-147 kubelet[13623]: E0923 21:36:10.347305   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:10 ip-172-31-10-147 kubelet[13623]: E0923 21:36:10.446953   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:10 ip-172-31-10-147 kubelet[13623]: E0923 21:36:10.546525   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:10 ip-172-31-10-147 kubelet[13623]: E0923 21:36:10.646900   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:10 ip-172-31-10-147 kubelet[13623]: E0923 21:36:10.746796   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:10 ip-172-31-10-147 kubelet[13623]: E0923 21:36:10.846560   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:10 ip-172-31-10-147 kubelet[13623]: E0923 21:36:10.947482   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:11 ip-172-31-10-147 kubelet[13623]: E0923 21:36:11.047368   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
